,drift_type,strength,length,window,step,seed,tp_regular,fn_regular,fp_regular,delay_regular,tp_irregular,fn_irregular,fp_irregular,delay_irregular
216,2,1.0,"(0.1, 0.4)",720,24,1,1,0,3,12079.0,1,0,2,7064.0
217,2,1.0,"(0.1, 0.4)",720,24,2,1,0,4,2958.0,1,0,2,2464.0
218,2,1.0,"(0.1, 0.4)",720,24,3,1,0,6,10721.0,1,0,3,593.0
219,2,1.0,"(0.1, 0.4)",720,24,4,1,0,23,7096.0,1,0,44,3177.0
220,2,1.0,"(0.1, 0.4)",720,168,0,1,0,0,11869.0,1,0,0,2994.0
221,2,1.0,"(0.1, 0.4)",720,168,1,1,0,0,12343.0,1,0,0,7760.0
222,2,1.0,"(0.1, 0.4)",720,168,2,1,0,0,3126.0,1,0,0,2632.0
223,2,1.0,"(0.1, 0.4)",720,168,3,1,0,0,10961.0,1,0,0,6425.0
224,2,1.0,"(0.1, 0.4)",720,168,4,1,0,1,7312.0,1,0,5,6729.0
225,2,1.0,"(0.1, 0.4)",2160,24,0,1,0,0,5653.0,1,0,0,3522.0
226,2,1.0,"(0.1, 0.4)",2160,24,1,1,0,0,5239.0,1,0,0,6584.0
227,2,1.0,"(0.1, 0.4)",2160,24,2,1,0,4,6.0,1,0,0,736.0
228,2,1.0,"(0.1, 0.4)",2160,24,3,1,0,0,5729.0,1,0,0,3425.0
229,2,1.0,"(0.1, 0.4)",2160,24,4,1,0,9,3304.0,1,0,43,5241.0
230,2,1.0,"(0.1, 0.4)",2160,168,0,1,0,0,5821.0,1,0,0,3666.0
231,2,1.0,"(0.1, 0.4)",2160,168,1,1,0,0,5455.0,1,0,0,7424.0
232,2,1.0,"(0.1, 0.4)",2160,168,2,1,0,0,102.0,1,0,0,952.0
233,2,1.0,"(0.1, 0.4)",2160,168,3,1,0,0,5921.0,1,0,0,6761.0
234,2,1.0,"(0.1, 0.4)",2160,168,4,1,0,1,3448.0,1,0,5,5385.0
235,2,1.0,"(0.1, 0.4)",2160,720,0,1,0,0,6685.0,1,0,0,8274.0
236,2,1.0,"(0.1, 0.4)",2160,720,1,1,0,0,6151.0,1,0,0,8240.0
237,2,1.0,"(0.1, 0.4)",2160,720,2,1,0,0,1182.0,1,0,0,1552.0
238,2,1.0,"(0.1, 0.4)",2160,720,3,1,0,0,6617.0,1,0,0,7457.0
239,2,1.0,"(0.1, 0.4)",2160,720,4,1,0,0,4624.0,1,0,2,6537.0
240,3,0.25,"(0.1, 0.4)",168,24,0,0,1,0,,1,0,3,3642.0
241,3,0.25,"(0.1, 0.4)",168,24,1,0,1,0,,1,0,3,10064.0
242,3,0.25,"(0.1, 0.4)",168,24,2,0,1,0,,1,0,3,5320.0
243,3,0.25,"(0.1, 0.4)",168,24,3,0,1,0,,1,0,3,3545.0
244,3,0.25,"(0.1, 0.4)",168,24,4,0,1,0,,1,0,3,5481.0
245,3,0.25,"(0.1, 0.4)",720,24,0,1,0,5,12757.0,1,0,1,690.0
246,3,0.25,"(0.1, 0.4)",720,24,1,0,1,4,,1,0,1,9080.0
247,3,0.25,"(0.1, 0.4)",720,24,2,0,1,4,,1,0,1,7984.0
